Category,Level,No.,Question
Small Talk,Elementary,1,What is your favorite subject in school?
Small Talk,Elementary,2,What’s the best part of your day at school?
Small Talk,Elementary,3,What’s the worst part of your day at school?
Small Talk,Elementary,4,What’s something you’re really good at in school?
Small Talk,Elementary,5,Did you meet anyone new today? What are they like?
Small Talk,Elementary,6,What’s your favorite song right now?
Small Talk,Elementary,7,Can you recommend any TV shows or YouTube videos?
Small Talk,Elementary,8,Rate your day on a scale of 1-10. Why did you pick that number?
Small Talk,Elementary,9,What do you look forward to most each day?
Small Talk,Elementary,10,What is the worst food in the world?
Small Talk,Elementary,11,What are you doing?
Small Talk,Elementary,12,Where are you going?
Small Talk,Elementary,13,How are you doing?
Small Talk,Elementary,14,Are you playing basketball?
Small Talk,Elementary,15,How are you feeling right now?
Small Talk,Elementary,16,What is happening in the room around you?
Small Talk,Elementary,17,What is your teacher wearing today?
Small Talk,Elementary,18,Is anything happening through the window?
Small Talk,Elementary,19,Are you reading anything interesting lately?
Small Talk,Elementary,20,Are you watching anything good on television these days?
Small Talk,Elementary,21,Is your wrist watch working?
Small Talk,Elementary,22,Who are you talking with?
Small Talk,Intermediate,1,What isn’t a subject in school that you think should be? How would you teach it?
Small Talk,Intermediate,2,"If you could outlaw one thing in school, what would it be?"
Small Talk,Intermediate,3,"If you could wake up tomorrow fluent in two other languages, which would you choose? Why?"
Small Talk,Intermediate,4,Where would your dream field trip be? Why? What would you do there?
Small Talk,Intermediate,5,Were you bored today? Why do you think that is?
Small Talk,Intermediate,6,What do you think is the most important quality in a teacher? Why?
Small Talk,Intermediate,7,What is the most important thing you learned in school NOT taught by a teacher?
Small Talk,Intermediate,8,Which is the most difficult rule to follow in school? Why do you think that is?
Small Talk,Intermediate,9,Tell me an interesting fact you know/learned recently that I don’t know
Small Talk,Intermediate,10,Who is someone you look up to at school? Why do you admire them?
Small Talk,Intermediate,11,"Do you think homework is beneficial? If so, why? If not, what would you replace it with?"
Small Talk,Intermediate,12,What’s something that bugs you about school? What do you think we can do about it?
Small Talk,Intermediate,13,What makes a good friend?
Small Talk,Intermediate,14,"If your friends could have a clubhouse, what would it look like?"
Small Talk,Intermediate,15,Tell me about a favorite memory you have of your friends
Small Talk,Intermediate,16,"If you and your friends won a $100 prize, how would you spend it?"
Small Talk,Intermediate,17,What is your favorite thing about yourself?
Small Talk,Intermediate,18,How would you describe yourself in five words or fewer?
Small Talk,Intermediate,19,What is a memorable act of kindness you witnessed? Why was it important?
Small Talk,Intermediate,20,What is your first memory? What can you remember?
Small Talk,Intermediate,21,Tell me about the time you laughed the hardest
Small Talk,Intermediate,22,"In your opinion, what is the most useful/entertaining app?"
